,year,suicides,population,suicide100
0,2000,345,17175577,0.020086661426279885
1,2001,393,17361833,0.02263585878288312
2,2002,411,17507998,0.023474985546605615
3,2003,413,17607810,0.023455500712467933
4,2004,403,17657631,0.022822993639407235
5,2005,405,17659079,0.02293437840104798
6,2006,387,17631557,0.021949281053284177
7,2007,379,17547530,0.02159848138171013
8,2008,398,17432076,0.022831474575948384
9,2009,343,17321655,0.019801803003234968
10,2010,368,17237481,0.021348827012485177
11,2011,413,17180849,0.024038392980463306
12,2012,383,17145894,0.022337709541421405
13,2013,362,17123318,0.021140762555481363
14,2014,371,17094729,0.021702596162828904
15,2015,397,17047218,0.02328825735671357
